ID Client,Nom Client,Age,Revenu Annuel,Score Credit,Taux Endettement,Nombre Enfants,Date Adhesion,Ville,Montant Pret,Default,Colonne_Vide,Autre_Col_Vide
138,Client_138,65.0,28796.99,818.0,0.372,4.0,2020-05-17,Toulouse,51266.74,0,,
31,Client_31,61.0,28556.01,453.0,0.15,0.0,2020-01-31,Lyon,,0,,
120,Client_120,28.0,,783.0,0.486,0.0,2020-04-29,Lyon,130015.2,0,,
30,Client_30,39.0,89154.95,375.0,,2.0,2020-01-30,,35620.23,0,,
143,Client_143,52.0,51746.61,493.0,0.158,2.0,2020-05-22,,161687.31,0,,
109,Client_109,32.0,49738.36,564.0,,1.0,2020-04-18,Toulouse,,0,,
95,Client_95,74.0,42855.14,668.0,0.504,0.0,2020-04-04,Paris,113854.54,0,,
52,Client_52,35.0,47529.89,522.0,,,2020-02-21,Marseille,123098.91,1,,
106,Client_106,,90916.43,744.0,0.525,2.0,2020-04-15,Marseille,,0,,
61,Client_61,37.0,,774.0,0.399,2.0,2020-03-01,,38299.92,0,,
16,Client_16,57.0,,773.0,0.29,1.0,2020-01-16,,84372.67,0,,
157,Client_157,43.0,31298.81,431.0,0.264,4.0,2020-06-05,,90085.37,0,,
134,Client_134,25.0,40979.72,373.0,,,2020-05-13,,72348.87,0,,
46,Client_46,54.0,23602.82,553.0,,,2020-02-15,Bordeaux,115450.35,0,,
69,Client_69,31.0,34195.53,584.0,0.338,3.0,2020-03-09,Lyon,49974.9,1,,
86,Client_86,27.0,32300.78,576.0,0.486,1.0,2020-03-26,Lyon,165428.56,0,,
25,Client_25,55.0,57748.82,536.0,0.076,3.0,2020-01-25,Toulouse,76011.4,0,,
110,Client_110,62.0,45889.22,,0.521,4.0,2020-04-19,Paris,38479.9,0,,
76,Client_76,23.0,58099.75,389.0,,1.0,2020-03-16,,132570.52,1,,
109,Client_109,32.0,49738.36,564.0,,1.0,2020-04-18,Toulouse,,0,,
20,Client_20,70.0,41854.61,,,1.0,2020-01-20,Toulouse,78562.23,0,,
17,Client_17,,22763.64,416.0,0.337,3.0,2020-01-17,,74547.68,0,,
32,Client_32,,,734.0,0.18,4.0,2020-02-01,Lyon,120362.08,0,,
19,Client_19,39.0,59439.62,692.0,0.367,4.0,2020-01-19,Bordeaux,,0,,
13,Client_13,41.0,49395.89,419.0,0.497,2.0,2020-01-13,Bordeaux,31286.25,0,,
10,Client_10,40.0,79308.39,568.0,0.495,3.0,2020-01-10,Marseille,109532.98,0,,
83,Client_83,43.0,,712.0,0.5,0.0,2020-03-23,Lyon,53269.75,0,,
99,Client_99,62.0,25048.89,572.0,0.349,0.0,2020-04-08,Lyon,80530.65,0,,
77,Client_77,71.0,48084.75,717.0,0.072,3.0,2020-03-17,Bordeaux,79795.63,0,,
56,Client_56,,66019.82,315.0,0.213,0.0,2020-02-25,Marseille,,0,,
43,Client_43,69.0,38373.51,731.0,,0.0,2020-02-12,Toulouse,,0,,
57,Client_57,26.0,44318.96,635.0,0.13,,2020-02-26,,72573.87,0,,
149,Client_149,18.0,27251.02,795.0,0.411,,2020-05-28,,87788.03,1,,
112,Client_112,42.0,44554.12,805.0,,3.0,2020-04-21,,60350.23,1,,
70,Client_70,34.0,40950.99,696.0,0.641,2.0,2020-03-10,Toulouse,149888.79,1,,
137,Client_137,50.0,54526.69,529.0,0.255,3.0,2020-05-16,,78139.91,0,,
3,Client_3,46.0,47257.34,563.0,0.473,1.0,2020-01-03,Lyon,65149.29,1,,
94,Client_94,,42532.49,336.0,0.577,3.0,2020-04-03,Marseille,77211.05,1,,
135,Client_135,29.0,61444.95,791.0,0.175,2.0,2020-05-14,Paris,56325.75,0,,
153,Client_153,31.0,,810.0,0.259,1.0,2020-06-01,Bordeaux,,0,,
91,Client_91,,57809.97,847.0,0.201,,2020-03-31,,20082.5,0,,
115,Client_115,41.0,65466.5,368.0,0.638,,2020-04-24,Lyon,119500.3,0,,
27,Client_27,38.0,31945.43,488.0,0.601,1.0,2020-01-27,Paris,28211.67,0,,
145,Client_145,57.0,34995.85,328.0,0.297,4.0,2020-05-24,,40407.59,0,,
136,Client_136,51.0,,552.0,0.398,0.0,2020-05-15,Bordeaux,,0,,
98,Client_98,33.0,44764.28,516.0,0.063,3.0,2020-04-07,,137534.01,1,,
66,Client_66,25.0,34765.48,716.0,0.149,0.0,2020-03-06,,121999.37,0,,
37,Client_37,33.0,35058.93,346.0,,1.0,2020-02-06,,128743.19,1,,
127,Client_127,22.0,50045.98,697.0,0.528,3.0,2020-05-06,Marseille,75083.96,0,,
23,Client_23,61.0,55861.25,417.0,0.384,,2020-01-23,Paris,134523.73,0,,
102,Client_102,70.0,33981.79,696.0,0.235,2.0,2020-04-11,,80663.71,0,,
160,Client_160,56.0,,,,0.0,2020-06-08,Toulouse,,0,,
